household_key,recommendations
58,"FRUIT - SHELF STABLE, GRAPES, BEANS - CANNED GLASS & MW, MUSHROOMS, HOT DOGS"
59,"APPLES, CONVENIENT BRKFST/WHLSM SNACKS, BERRIES, BAKING NEEDS, BROCCOLI/CAULIFLOWER"
60,"FRZN MEAT/MEAT DINNERS, CAT LITTER, FROZEN PIZZA, BAKED SWEET GOODS, LUNCHMEAT"
61,"CANDY - CHECKLANE, BAG SNACKS, BAKED BREAD/BUNS/ROLLS, CHEESE, BAKED SWEET GOODS"
62,"COOKIES/CONES, DELI MEATS, CANNED JUICES, COUPON/MISC ITEMS, MILK BY-PRODUCTS"
63,"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS, BAG SNACKS, BEEF, TROPICAL FRUIT"
64,"YOGURT, HOUSEHOLD CLEANG NEEDS, SALAD BAR, CHEESES, STATIONERY & SCHOOL SUPPLIES"
65,"SOUP, COUPON/MISC ITEMS, HISPANIC, CHICKEN, SALD DRSNG/SNDWCH SPRD"
66,"FRZN MEAT/MEAT DINNERS, COUPON/MISC ITEMS, BEERS/ALES, HISPANIC, WATER - CARBONATED/FLVRD DRINK"
67,"BUTTER, MUSHROOMS, HERBS, BABY HBC, HOT CEREAL"
68,"SALAD BAR, FEMININE HYGIENE, BOOKSTORE, SANDWICHES, CANNED MILK"
69,"SMOKED MEATS, ORAL HYGIENE PRODUCTS, BABY FOODS, CAT FOOD, BUTTER"
70,"SOFT DRINKS, BAG SNACKS, NO COMMODITY DESCRIPTION, CHEESE, BAKED BREAD/BUNS/ROLLS"
71,"COLD CEREAL, CAT FOOD, CHEESES, BATH TISSUES, PAPER HOUSEWARES"
72,"ISOTONIC DRINKS, ROLLS, BABY FOODS, MUSHROOMS, DOG FOODS"
73,"BEEF, VEGETABLES - SHELF STABLE, EGGS, CHICKEN, VEGETABLES - ALL OTHERS"
74,"WATER - CARBONATED/FLVRD DRINK, FRZN VEGETABLE/VEG DSH, CANDY - CHECKLANE, HISPANIC, CONVENIENT BRKFST/WHLSM SNACKS"
75,"FROZEN PIZZA, CANDY - CHECKLANE, FRZN MEAT/MEAT DINNERS, TOMATOES, SOUP"
76,"COUPON/MISC ITEMS, CITRUS, SOFT DRINKS, CRACKERS/MISC BKD FD, COLD CEREAL"
77,"WATER - CARBONATED/FLVRD DRINK, PWDR/CRYSTL DRNK MX, PEPPERS-ALL, MELONS, BUTTER"
78,"BAG SNACKS, YOGURT, FRZN VEGETABLE/VEG DSH, FROZEN MEAT, REFRGRATD DOUGH PRODUCTS"
79,"PAPER TOWELS, TOMATOES, CHEESES, APPLES, HOT DOGS"
80,"HAIR CARE PRODUCTS, PAPER TOWELS, HOT CEREAL, FROZEN BREAD/DOUGH, RICE CAKES"
81,"BAKING MIXES, BACON, COFFEE, FROZEN BREAD/DOUGH, ISOTONIC DRINKS"
82,"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS, CAT FOOD, ICE CREAM/MILK/SHERBTS, VEGETABLES - SHELF STABLE"
83,"BAG SNACKS, COLD CEREAL, SOUP, DELI MEATS, COOKIES/CONES"
84,"BEEF, YOGURT, DELI MEATS, REFRGRATD JUICES/DRNKS, COFFEE"
85,"HOT DOGS, PNT BTR/JELLY/JAMS, APPLES, FRZN BREAKFAST FOODS, BERRIES"
86,"BAKING MIXES, MEAT - MISC, FRZN POTATOES, CIGARETTES, ISOTONIC DRINKS"
87,"YOGURT, TROPICAL FRUIT, FITNESS&DIET, BEEF, FLUID MILK PRODUCTS"
88,"DOG FOODS, SALAD BAR, CHEESES, FUEL, OLIVES"
89,"SOFT DRINKS, BAKED BREAD/BUNS/ROLLS, FRZN MEAT/MEAT DINNERS, CHEESE, SOUP"
90,"SOFT DRINKS, CONVENIENT BRKFST/WHLSM SNACKS, FROZEN PIZZA, BEEF, REFRGRATD JUICES/DRNKS"
91,"APPLES, DOG FOODS,  , CITRUS, PORK"
92,"TOMATOES, CHEESES, FRZN NOVELTIES/WTR ICE, BREAKFAST SAUSAGE/SANDWICHES, PICKLE/RELISH/PKLD VEG"
93,"MEAT - SHELF STABLE, DRY BN/VEG/POTATO/RICE, FROZEN MEAT, DRY MIX DESSERTS, BEEF"
94,"COLD CEREAL, CANDY - PACKAGED, YOGURT, FRZN VEGETABLE/VEG DSH, FRZN MEAT/MEAT DINNERS"
95,"HAIR CARE PRODUCTS, FRZN BREAKFAST FOODS, DRY MIX DESSERTS, FUEL, PAPER TOWELS"
96,"COLD CEREAL, CONDIMENTS/SAUCES, DRY BN/VEG/POTATO/RICE, VEGETABLES SALAD, MEAT - SHELF STABLE"
97,"CANDY - PACKAGED, FRZN MEAT/MEAT DINNERS, BREAD, BROCCOLI/CAULIFLOWER, ISOTONIC DRINKS"
98,"BREAKFAST SWEETS, WATER, MILK BY-PRODUCTS, ROLLS, DRY MIX DESSERTS"
99,"FUEL, BABY HBC, FEMININE HYGIENE, CARROTS, FITNESS&DIET"
100,"REFRGRATD DOUGH PRODUCTS, TROPICAL FRUIT, CANDY - CHECKLANE, DRY NOODLES/PASTA, FROZEN BREAD/DOUGH"
